V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11
2077569.18099218	2084747.45811104	2090497.25427204	2070490.68888909	2072636.4714198	2069139.91520752	2087495.46972864	2080526.04872115	2087791.73829318	2070052.34053661	2071347.16860426
2034071.49598263	2041077.76399859	2046684.48732678	2027177.01675802	2029245.33902516	2025782.24376359	2043662.91312548	2036988.91138788	2044086.55949177	2026703.70846901	2028047.90780538
1991404.09509663	1998231.71995095	2003699.73670506	1984691.05947923	1986685.42600922	1983257.60992534	2000663.90751798	1994279.3427349	2001208.8126146	1984185.15947717	1985578.09271944
1949561.95711469	1956214.89302333	1961543.26835483	1943031.44310569	1944953.7975964	1941563.82782057	1958497.82544998	1952396.0151514	1959158.52731177	1942495.8547129	1943935.99032966
1908543.7079285	1915023.93941248	1920212.33833696	1902196.15130842	1904046.09912666	1900698.29886603	1917162.38168545	1911336.17136288	1917932.98687046	1901633.92482863	1903118.98481475
1868347.99463441	1874653.19812333	1879703.6015379	1862180.15559937	1863960.90342642	1860658.80206974	1876653.61708278	1871096.97075005	1877529.16555185	1861594.77869108	1863122.54015569
1828969.53881633	1835098.89577119	1840012.3074818	1822978.55806085	1824691.56851394	1821438.80255517	1836966.68964787	1831673.00791183	1837941.37742206	1822368.16823147	1823940.69142049
1790401.16555814	1796354.34703169	1801132.62096879	1784584.79429281	1786231.05049605	1783029.96455653	1798095.54770128	1793057.96162846	1799164.25580787	1783952.87058597	1785566.76274836
1752633.93291746	1758411.96780399	1763057.50640015	1746990.5475334	1748571.60373022	1745422.65794896	1760032.33496168	1755244.1868451	1761190.02535435	1746339.39118915	1747993.36273069
1715660.62970829	1721263.51308516	1725778.22065239	1710187.02443339	1711703.36409415	1708610.28342167	1722767.644845	1718223.01992643	1724009.86549596	1709519.13782074	1711211.01082387
1679469.80046659	1684900.20917459	1689285.64767153	1674164.60321541	1675618.37830925	1672582.14679073	1686293.17905697	1681985.35667996	1687615.6473543	1673483.02780946	1675209.93815318
1644052.99671445	1649312.25286434	1653569.99879985	1638913.31932331	1640306.97811223	1637327.66309138	1650598.57176017	1646521.21150778	1651997.08819885	1638219.51429883	1639979.96431252
1609399.7314279	1614489.10200267	1618621.18320396	1604422.30892314	1605754.17181029	1602836.25175794	1615671.84086286	1611820.11672343	1617142.74967608	1603717.96585829	1605510.52801685
1575475.94290153	1580397.45159681	1584404.73324485	1570657.0901841	1571929.2088733	1569074.23465335	1581481.42116672	1577847.50487111	1583019.30508432	1569944.93006379	1571767.3739248
1542292.57411006	1547044.8947783	1550933.07936863	1537630.59737835	1538842.86134879	1536051.29196722	1548037.74397075	1544615.45658692	1549638.31165617	1536910.36449958	1538762.24271234
1509837.6053044	1514422.96387155	1518192.93424648	1505329.06145725	1506482.49628945	1503756.17010402	1515327.15139841	1512111.0616248	1516987.20696804	1504603.89703824	1506481.48146898
1478098.0199546	1482518.97131195	1486172.58889179	1473739.30042728	1474834.84491478	1472172.95369506	1483338.19805828	1480321.87451544	1485053.51378839	1473008.58890485	1474912.35664011
1447059.24343545	1451318.66998163	1454858.69512721	1442848.24271485	1443886.90967255	1441291.30719312	1452057.223456	1449234.4931584	1453824.16838342	1442114.90227205	1444042.12784973
1416710.10496885	1420809.29090224	1424238.17707702	1412642.88067086	1413625.20682808	1411095.17895536	1421471.37668588	1418835.83152462	1423285.78773191	1411906.51119006	1413856.27687325
1387035.72494548	1390977.12056247	1394297.51099854	1383109.65166154	1384036.80256896	1381571.8185238	1391566.52667835	1389112.46107958	1393425.12104593	1382370.50581959	1384341.85176841
1358020.40965777	1361808.89443895	1365023.47867314	1354234.4494889	1355107.20602184	1352708.23396427	1362328.69140903	1360050.63739664	1364228.26711904	1353493.4182095	1355485.02409698
1329653.7815456	1333290.78891084	1336401.76461053	1326004.12903086	1326822.76238948	1324488.76094444	1333743.97679979	1331637.03000871	1335681.9549747	1325260.92538506	1327272.00831575
1301921.71884635	1305409.72507369	1308419.04858323	1298404.98357452	1299170.02917478	1296901.26694145	1305799.7629831	1303857.79104731	1307772.20954466	1297660.38221825	1299689.19583852
1274810.0218054	1278152.09218472	1281061.79441514	1271423.55441204	1272135.1041684	1269931.11389106	1278480.73971962	1276699.1421804	1280485.65343532	1270678.03341114	1272722.51163522
1248304.69338784	1251504.27877287	1254316.56649656	1245045.01860053	1245705.28238268	1243564.1492998	1251774.01227985	1250147.60784264	1253808.51191288	1244300.03991258	1246358.51059487
