YEAR	WEEK	AL	AZ	AR	CA	CO	CT	DE	GA	HI	IL	IN	IA	KS	KY	LA	MD	MA	MI	MN	MS	MO	MT	NE	NM	NY	NC	ND	OH	OK	OR	PA	SC	SD	TN	TX	UT	VA	WA	WV	WI
2015	19	4779736	6392017	2915918	37253956	5029196	3574097	NA	9687653	1360301	12830632	6483802	3046355	2853118	4339367	4533372	5773552	6547629	9883640	5303925	2967297	5988927	NA	1826341	2059179	19378102	9535483	NA	11536504	3751351	3831074	12702379	4625364	814180	6346105	25145561	2763885	8001024	6724540	1852994	5686986
2015	20	4779736	6392017	2915918	37253956	5029196	3574097	NA	9687653	1360301	12830632	6483802	3046355	NA	4339367	4533372	5773552	6547629	9883640	5303925	2967297	5988927	NA	1826341	2059179	19378102	9535483	NA	11536504	3751351	3831074	12702379	4625364	814180	6346105	25145561	2763885	8001024	6724540	1852994	5686986
2015	21	4779736	6392017	2915918	37253956	5029196	3574097	897934	9687653	1360301	12830632	6483802	3046355	NA	4339367	4533372	5773552	6547629	9883640	5303925	2967297	5988927	989415	1826341	2059179	19378102	9535483	NA	11536504	3751351	3831074	12702379	4625364	814180	6346105	25145561	2763885	8001024	6724540	1852994	5686986
2015	22	4779736	6392017	2915918	37253956	5029196	3574097	NA	9687653	1360301	12830632	6483802	NA	NA	4339367	4533372	5773552	6547629	9883640	5303925	2967297	5988927	NA	1826341	2059179	19378102	9535483	NA	11536504	3751351	3831074	12702379	4625364	814180	6346105	25145561	2763885	8001024	6724540	1852994	5686986
2015	23	4779736	6392017	2915918	37253956	5029196	3574097	NA	9687653	1360301	12830632	6483802	NA	NA	4339367	4533372	5773552	6547629	9883640	5303925	2967297	5988927	NA	1826341	2059179	19378102	9535483	NA	11536504	3751351	3831074	12702379	4625364	814180	6346105	25145561	2763885	8001024	6724540	1852994	5686986
2015	24	4779736	6392017	2915918	37253956	5029196	3574097	NA	9687653	1360301	12830632	6483802	NA	NA	4339367	4533372	5773552	6547629	9883640	5303925	2967297	5988927	989415	1826341	2059179	19378102	9535483	NA	11536504	3751351	NA	12702379	NA	814180	6346105	25145561	2763885	8001024	6724540	1852994	5686986
2015	25	4779736	6392017	2915918	37253956	5029196	3574097	NA	9687653	1360301	12830632	6483802	NA	NA	4339367	4533372	5773552	6547629	9883640	5303925	2967297	5988927	NA	1826341	NA	19378102	9535483	NA	11536504	3751351	3831074	12702379	4625364	814180	6346105	25145561	2763885	8001024	6724540	1852994	5686986
2015	26	4779736	6392017	2915918	37253956	5029196	3574097	NA	9687653	1360301	12830632	6483802	NA	NA	4339367	4533372	5773552	6547629	9883640	5303925	2967297	5988927	NA	1826341	NA	19378102	NA	NA	11536504	3751351	3831074	12702379	4625364	814180	6346105	25145561	2763885	8001024	6724540	1852994	5686986
2015	27	4779736	6392017	2915918	37253956	5029196	3574097	NA	9687653	1360301	12830632	6483802	NA	NA	4339367	4533372	5773552	6547629	9883640	5303925	2967297	5988927	989415	1826341	NA	19378102	NA	NA	11536504	3751351	3831074	12702379	4625364	814180	6346105	25145561	2763885	8001024	6724540	1852994	5686986
2015	28	4779736	6392017	2915918	37253956	5029196	3574097	NA	9687653	1360301	12830632	6483802	NA	NA	4339367	4533372	5773552	6547629	9883640	5303925	2967297	5988927	NA	1826341	NA	19378102	NA	NA	11536504	3751351	3831074	12702379	4625364	814180	6346105	25145561	2763885	8001024	6724540	1852994	5686986
2015	29	4779736	6392017	2915918	37253956	5029196	3574097	NA	9687653	1360301	12830632	6483802	NA	NA	4339367	4533372	5773552	6547629	9883640	5303925	NA	5988927	989415	NA	NA	19378102	NA	NA	11536504	3751351	NA	12702379	4625364	814180	6346105	25145561	2763885	8001024	NA	1852994	5686986
2015	30	4779736	6392017	NA	37253956	5029196	3574097	NA	9687653	1360301	12830632	6483802	NA	NA	4339367	4533372	5773552	6547629	9883640	5303925	2967297	5988927	989415	1826341	NA	19378102	NA	NA	11536504	3751351	3831074	12702379	4625364	814180	6346105	25145561	2763885	8001024	6724540	1852994	5686986
2015	31	4779736	6392017	2915918	37253956	5029196	3574097	NA	9687653	1360301	12830632	6483802	NA	NA	NA	4533372	5773552	6547629	9883640	5303925	NA	5988927	989415	1826341	NA	19378102	NA	NA	11536504	NA	NA	12702379	4625364	814180	6346105	25145561	2763885	8001024	6724540	1852994	5686986
2015	32	4779736	6392017	2915918	37253956	5029196	3574097	NA	9687653	1360301	12830632	6483802	NA	NA	NA	4533372	5773552	6547629	9883640	5303925	2967297	5988927	NA	1826341	NA	19378102	NA	NA	11536504	3751351	NA	12702379	4625364	814180	6346105	25145561	2763885	8001024	6724540	1852994	NA
2015	33	4779736	6392017	2915918	37253956	5029196	3574097	NA	9687653	1360301	12830632	6483802	NA	NA	4339367	4533372	5773552	6547629	9883640	5303925	2967297	5988927	NA	1826341	2059179	19378102	9535483	NA	11536504	3751351	NA	12702379	4625364	814180	6346105	25145561	2763885	8001024	6724540	1852994	5686986
2015	34	4779736	6392017	2915918	37253956	5029196	NA	NA	9687653	1360301	12830632	6483802	NA	NA	4339367	4533372	5773552	6547629	9883640	5303925	2967297	5988927	NA	1826341	2059179	19378102	9535483	NA	11536504	3751351	NA	12702379	4625364	814180	6346105	25145561	2763885	8001024	6724540	1852994	5686986
2015	35	4779736	6392017	2915918	37253956	5029196	3574097	NA	9687653	1360301	12830632	6483802	3046355	2853118	4339367	4533372	5773552	6547629	9883640	5303925	2967297	5988927	NA	1826341	2059179	19378102	9535483	NA	11536504	3751351	3831074	12702379	4625364	814180	6346105	25145561	2763885	8001024	6724540	1852994	5686986
2015	36	4779736	6392017	2915918	37253956	5029196	3574097	NA	9687653	1360301	12830632	6483802	3046355	2853118	4339367	4533372	5773552	6547629	9883640	5303925	2967297	5988927	989415	1826341	2059179	19378102	9535483	NA	11536504	3751351	3831074	12702379	4625364	814180	6346105	25145561	2763885	8001024	6724540	1852994	5686986
2015	37	4779736	6392017	2915918	37253956	5029196	3574097	NA	9687653	1360301	12830632	6483802	NA	2853118	4339367	4533372	5773552	6547629	9883640	5303925	2967297	5988927	989415	1826341	2059179	19378102	9535483	NA	11536504	3751351	3831074	12702379	4625364	814180	6346105	25145561	2763885	8001024	6724540	1852994	5686986
2015	38	4779736	6392017	2915918	37253956	5029196	3574097	897934	9687653	1360301	12830632	6483802	3046355	2853118	4339367	4533372	5773552	6547629	9883640	5303925	2967297	5988927	989415	1826341	2059179	19378102	9535483	NA	11536504	3751351	3831074	12702379	4625364	814180	6346105	25145561	2763885	8001024	6724540	1852994	5686986
2015	39	4779736	6392017	2915918	37253956	5029196	3574097	NA	9687653	1360301	12830632	6483802	3046355	2853118	4339367	4533372	5773552	6547629	9883640	5303925	2967297	5988927	989415	1826341	2059179	19378102	9535483	NA	11536504	3751351	3831074	12702379	4625364	814180	6346105	25145561	2763885	8001024	6724540	1852994	5686986
2015	40	4779736	6392017	2915918	37253956	5029196	3574097	897934	9687653	1360301	12830632	6483802	3046355	2853118	4339367	4533372	5773552	6547629	9883640	5303925	2967297	5988927	989415	1826341	2059179	19378102	9535483	NA	11536504	3751351	3831074	12702379	4625364	814180	6346105	25145561	2763885	8001024	6724540	1852994	5686986
2015	41	4779736	6392017	2915918	37253956	5029196	3574097	897934	9687653	1360301	12830632	6483802	3046355	2853118	4339367	4533372	5773552	6547629	9883640	5303925	2967297	5988927	989415	1826341	2059179	19378102	9535483	NA	11536504	3751351	3831074	12702379	4625364	814180	6346105	25145561	2763885	8001024	6724540	1852994	5686986
2015	42	4779736	6392017	2915918	37253956	5029196	3574097	897934	9687653	1360301	12830632	6483802	3046355	2853118	4339367	4533372	5773552	6547629	9883640	5303925	2967297	5988927	989415	1826341	2059179	19378102	9535483	672591	11536504	3751351	3831074	12702379	4625364	814180	6346105	25145561	2763885	8001024	6724540	1852994	5686986
2015	43	4779736	6392017	2915918	37253956	5029196	3574097	897934	9687653	1360301	12830632	6483802	3046355	2853118	4339367	4533372	NA	6547629	9883640	5303925	2967297	5988927	989415	1826341	2059179	19378102	9535483	672591	11536504	3751351	3831074	12702379	4625364	814180	6346105	25145561	2763885	8001024	6724540	1852994	5686986
2015	44	4779736	6392017	2915918	37253956	5029196	3574097	897934	9687653	1360301	12830632	6483802	3046355	2853118	4339367	4533372	NA	6547629	9883640	5303925	2967297	5988927	989415	1826341	2059179	19378102	9535483	NA	11536504	3751351	3831074	12702379	4625364	814180	6346105	25145561	2763885	8001024	6724540	1852994	5686986
2015	45	4779736	6392017	2915918	37253956	5029196	3574097	897934	9687653	1360301	12830632	6483802	3046355	2853118	4339367	4533372	5773552	6547629	9883640	5303925	2967297	5988927	989415	1826341	2059179	19378102	9535483	672591	11536504	3751351	3831074	12702379	4625364	814180	6346105	25145561	2763885	8001024	6724540	1852994	5686986
