V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41
6448336.58766675	6391184.03629422	6314852.0216729	6452555.65748873	6690976.53747763	6468584.3546483	6170240.7270037	6102502.46654079	6285968.161544	7334629.64498958	7078653.35456112	6004598.92418021	6845236.29530601	6190556.65462289	6445798.9792394	6482654.10817515	6803711.76358467	6236132.23212255	5972075.68131805	6285883.96290165	6486474.41115485	7137278.57847317	6158478.18630049	6366376.61370567	6927015.46115195	6219633.90645061	6495812.25213001	6548350.78939387	6577971.14625188	6481405.67782929	6286897.51665369	6585939.65166972	7452715.69898659	5906676.9021471	5762830.81289672	6354110.12547147	6411882.07425268	6001295.45967297	6770813.75454057	6092871.92015802	6637220.67485723
6540734.61147105	6499052.8488853	6421727.11577727	6526234.29504761	6789430.68469905	6541369.56256556	6254264.12652537	6186475.98266826	6383265.52178787	7435999.00245753	7168795.2598943	6097161.62885971	6943029.91632637	6292602.46311797	6552857.54538141	6583105.79260956	6911228.60033318	6337171.03606227	6087403.32049482	6381189.85429922	6602819.4626023	7245275.74558214	6221859.95372473	6456002.90491097	7012697.94813744	6318995.59847171	6567891.23325416	6634436.11854686	6698360.89417497	6570118.38413089	6403991.27038572	6661951.6838258	7535726.1809482	6005870.32136082	5832925.13276456	6435170.98430526	6497499.70600848	6092195.39931188	6879154.44704994	6189855.20876383	6706023.44337754
6625784.48009188	6600404.40748667	6521913.52512224	6593202.7441255	6880216.18189941	6607193.51161238	6331770.54519002	6263939.82007865	6473593.31674699	7526369.16052657	7250498.26124312	6183559.78301933	7032541.66815677	6388094.70305741	6652466.79491312	6676162.59211098	7010619.56361213	6431828.0453478	6196860.97359478	6470081.24286134	6711865.15130056	7343384.74850613	6278964.45052319	6538660.1985131	7089694.54509897	6411588.4143613	6632615.20205544	6713098.56874711	6811399.02706229	6651521.65454232	6513868.39797953	6730256.06304202	7608567.03221336	6099473.53213194	5897280.84899589	6508926.5550619	6576198.27376563	6176837.47240098	6979729.85339149	6280621.48918923	6767188.24068827
6703123.42085116	6694789.08875731	6614972.66411223	6653237.12765404	6962942.34299386	6665860.09446403	6402425.57006109	6334570.61099829	6556551.30893006	7605197.41822507	7323408.3071135	6263425.7221971	7113350.86611564	6476617.50098626	6744144.09827576	6761418.26997706	7101424.95247238	6519700.87420799	6299943.43938845	6552182.82789525	6813082.46991219	7431053.92173603	6329610.92164082	6613969.88104466	7157666.90533659	6496997.08709157	6689725.78129891	6784003.15385694	6916540.1668135	6725279.22210503	6615939.36419744	6790557.22283956	7670930.05283401	6187113.59900554	5955668.37546384	6575058.56938826	6647669.20506559	6254854.23990312	7072082.95110886	6364801.54665782	6820543.07385288
6772403.09829299	6781792.99004929	6700472.8348343	6706147.0146107	7037253.99958882	6717217.75551075	6465940.80225398	6398079.3440602	6631780.22391742	7672011.13928863	7387202.98286813	6336426.39899477	7185059.04349364	6557797.90114114	6827443.06669276	6838480.3014408	7183219.04874445	6600401.23536891	6396176.25891696	6627139.75936538	6905975.12163585	7507804.25601527	6373612.84291425	6681614.76034453	7216294.53496281	6574858.01136073	6738983.25346561	6846838.38740127	7013286.59017014	6791071.64003282	6709628.67478437	6842579.59050598	7722592.31034225	6268422.13150698	6007881.12965474	6633313.89047354	6711642.38384251	6325912.7288459	7155805.34359583	6442052.20240003	6865923.1635329
6833339.7573978	6861045.92507502	6778019.46981042	6751753.84662284	7102814.26667573	6761149.44309663	6522042.67692652	6454216.78127829	6698957.11256083	7726429.82067262	7441603.13689479	6402248.74176721	7247343.41471932	6631270.81758638	6901952.0253408	6907007.09776251	7255631.65216335	6673566.51333943	6485101.83547361	6694626.18014875	6990093.5814945	7573221.3801771	6410839.99563079	6741297.70401763	7265362.05285656	6644831.388661	6780203.27453137	6901325.53927082	7101179.80244233	6848606.10663064	6794409.13583529	6886102.57967435	7763421.07871497	6343058.80721958	6053727.60647295	6683444.71332887	6767859.68650819	6389700.9018374	7230509.52065557	6512060.5598083	6903234.10879035
6885667.50674338	6932187.52895076	6847266.38182782	6789918.70748481	7159354.84785956	6797569.22708065	6570503.68048544	6502754.50811866	6757789.40101698	7768158.5794094	7486381.59798783	6460626.66489954	7299905.34648092	6696744.97921035	6967303.6673001	6966701.43502471	7318338.26636054	6738865.7143316	6566306.05141553	6754360.32246698	7065029.70012948	7626958.63106181	6441186.82982842	6792768.96383946	7304694.29018066	6706623.36697617	6813230.35613588	6947234.22091788	7179813.64048431	6897631.06982445	6869802.96193271	6920942.55115763	7793307.72473157	6410702.1773438	6093061.20863408	6725254.57521232	6816122.27613182	6445950.89369846	7295865.24191114	6574542.96192323	6932399.16139401
6929177.50244769	6994894.45530615	6907895.01514558	6820542.71928082	7206650.16932129	6826423.35551877	6611126.68266721	6543507.69137374	6808025.09930027	7796976.08462183	7521357.37907625	6511325.04331281	7342502.64286255	6753931.89896116	7023197.17221013	7017309.14088799	7371044.44994404	6796020.27957308	6639407.84305311	6806085.29939324	7130417.50771095	7668714.14762031	6464587.55919498	6835811.16938797	7334133.78875217	6759982.34364949	6837944.59175023	6984376.11937952	7248813.89184522	6937949.27376385	6935394.89029335	6946959.33906148	7812197.58668596	6471066.76197431	6125753.02368036	6758602.51670874	6856255.50189252	6494426.16487689	7351578.51603356	6629262.03386726	6953396.35522445
6963685.45275813	7048904.21277127	6959641.69322594	6843563.24489289	7244512.8391123	6847687.29788188	6643753.72512314	6576318.47450112	6849479.82665343	7812763.05300826	7546395.17086554	6554145.83499444	7374958.12160998	6802613.5808799	7069371.29937932	7058617.57849987	7413538.9009765	6844774.18877726	6704060.46081265	6849586.08979304	7185941.6531393	7698302.33065291	6480996.13099637	6870246.64804585	7353624.1231646	6804699.00449065	6854251.67646726	7012605.07330067	7307885.43563316	6969409.65543211	6990820.76826518	6964056.31525474	7820128.01003321	6523896.8908126	6151708.04097877	6783374.74741617	6888124.27103123	6534936.11144531	7397414.94543885	6676018.28446464	6966227.10715363
6989089.71828589	7093985.64500859	7002275.35457007	6858938.160381	7272816.07447857	6861379.26212702	6668257.44191244	6601088.0493228	6881993.64974899	7815493.5156799	7561420.14193726	6588924.95530756	7397145.56140527	6842603.96754465	7105626.63803564	7090481.23569151	7445662.7833569	6884915.74201148	6759967.45794566	6884687.93429344	7231353.99462597	7715614.44038596	6490400.46703385	6895941.46448192	7363136.98120311	6840603.75520182	6862133.87561604	7031815.44914194	7356746.93386425	6991901.41531105	7035786.93543712	6972200.2621869	7817200.08408403	6568966.95868221	6170865.83847634	6799522.05198942	6911636.82685327	6567317.86411767	7433206.51325857	6714648.12271505	6970941.39321158
