V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11
1290840.19693833	1293260.81541113	1291556.16797725	1288433.83204904	1290954.93634845	1288272.21784633	1291407.00866387	1290949.11390644	1293897.40912266	1289473.61366913	1292750.49208365
1241101.20909403	1243468.8508788	1241812.8910697	1238775.80973949	1241203.51121912	1238608.84305462	1241604.1571649	1241224.60765631	1244067.69380972	1239778.34950293	1242956.76208101
1193349.94367371	1195665.07224369	1194057.18681228	1191104.52975675	1193440.83259957	1190932.49376462	1193792.60128388	1193487.56136867	1196229.06186435	1192069.72790939	1195152.47139596
1147508.1318184	1149772.03738286	1148212.70425996	1145341.75368802	1147588.40606662	1145164.80275857	1147894.56851854	1147659.03848911	1150302.40263707	1146271.11701573	1149259.39423988
1103502.57196148	1105715.27952328	1104203.27436929	1101412.48750231	1103572.93966289	1101231.86898714	1103835.96607692	1103665.75948333	1106213.52031253	1102307.29603126	1105203.55193181
1061260.43454702	1063422.6199815	1061955.94068847	1059243.73981674	1061321.30937764	1059060.34638841	1061544.27391738	1061433.43632188	1063890.8465219	1060106.50215027	1062912.78413238
1020712.62313989	1022823.10095249	1021400.61586036	1018766.47353502	1020763.32435647	1018580.49988491	1020948.32062457	1020894.21793213	1023263.47534551	1019600.03127808	1022316.81854149
981791.211425469	983851.014721815	982471.762427933	979913.777862685	981832.455219805	979724.576124143	981982.874367709	981980.613845761	984264.785572705	980718.20216727	983348.332435162
944431.1898193	946440.604976661	945104.122753999	942619.495165895	944463.044089583	942428.808928601	944580.476753762	944626.907338243	946828.590066866	943395.024799063	945941.424463858
908569.598666061	910529.231669168	909234.428936706	906821.317109756	908592.84544966	906629.636143514	908679.738122485	908770.806505006	910892.229884757	907569.790458268	910035.547697328
874146.411225897	876056.70613419	874802.942026616	872459.245770916	874161.241729866	872266.040241475	874219.517994121	874351.626059346	876395.607796596	873182.001146693	875568.104251411
841102.240842793	842964.4562598	841751.191083736	839474.706524287	841108.903139533	839280.811740876	841141.648274422	841313.845086702	843281.439417439	840173.452389312	842481.974591338
809382.817356422	811197.568083783	810023.198077163	807811.942532984	809381.252772564	807617.554273219	809390.155217522	809597.794458715	811493.925651917	808487.321961661	810720.832557848
778933.425175932	780703.358646543	779565.82784381	777418.011770681	778924.768825736	777223.354470732	778911.298416992	779151.410234386	780978.764239953	778070.88568407	780231.585062947
